影评	电影简介	电影名称	序号	星级	电影类型
332490人评价	动物版《哈姆雷特》。	狮子王	57	8.9	1994/美国/剧情动画冒险歌舞家庭
					
226034人评价	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。	素媛	58	9.1	2013/韩国/剧情
					
234108人评价	音乐能化解仇恨。	钢琴家	59	9	2002/法国德国英国波兰/剧情传记历史战争音乐
					
167008人评价	奔跑的孩子是天使。	小鞋子	60	9.2	1997/伊朗/剧情家庭儿童
					
493421人评价	警察抓小偷，老鼠玩死猫。	七宗罪	61	8.7	1995/美国/剧情犯罪悬疑惊悚
					
348077人评价	以戏谑来戏谑戏谑。	被嫌弃的松子的一生	62	8.9	2006/日本/剧情歌舞
					
400189人评价	孪生蝙蝠侠大战克隆金刚狼。	致命魔术	63	8.8	2006/美国英国/剧情悬疑惊悚
					
549534人评价	法式小清新。 	天使爱美丽	64	8.7	2001/法国德国/喜剧爱情
					
453931人评价	在时间之河里感受溺水之苦。	本杰明·巴顿奇事	65	8.8	2008/美国/剧情爱情奇幻
					
418434人评价	美丽无罪。	西西里的美丽传说	66	8.8	2000/意大利美国/剧情战争情色
					
267714人评价	用音乐化解仇恨，让歌声串起美好。	音乐之声	67	8.9	1965/美国/剧情传记爱情歌舞
					
283363人评价	美利坚精神输出大片No1.	拯救大兵瑞恩	68	8.9	1998/美国/剧情历史战争
					
330576人评价	史诗大片的典范。	勇敢的心	69	8.8	1995/美国/动作传记剧情历史战争
					
330430人评价	视觉革命。	黑客帝国	70	8.8	1999/美国澳大利亚/动作科幻
					
737326人评价	你给我翻译翻译，神马叫做TMD的惊喜。	让子弹飞	71	8.7	2010/中国大陆香港/剧情喜剧动作西部
					
390696人评价	故事的高级讲法。	低俗小说	72	8.8	1994/美国/剧情喜剧犯罪
					
431868人评价	你以为你以为的就是你以为的。	看不见的客人	73	8.7	2016/西班牙/剧情犯罪悬疑惊悚
					
555009人评价	浪漫忧郁的成人童话。	剪刀手爱德华	74	8.7	1990/美国/剧情奇幻爱情
					
404366人评价	安东尼·霍普金斯的顶级表演。	沉默的羔羊	75	8.8	1991/美国/剧情犯罪惊悚
					
440275人评价	人的命运被自己瞬间的抉择改变。	蝴蝶效应	76	8.7	2004/美国加拿大/剧情悬疑科幻惊悚
					
125178人评价	经典之作，历久弥新。	大闹天宫	77	9.3	1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻
					
211878人评价	“不要跟我比惨，我比你更惨”再适合这部电影不过了。	末代皇帝	78	9	1987/英国意大利中国大陆法国美国/剧情传记历史
					
351670人评价	死可能是一道门，逝去并不是终结，而是超越，走向下一程。	入殓师	79	8.8	2008/日本/剧情
					
288782人评价	爱情纠缠，男女一致。	春光乍泄	80	8.8	1997/香港日本韩国/剧情爱情同性
					
317259人评价	人生中应该拥有这样的一段豁然开朗。	心灵捕手	81	8.8	1997/美国/剧情
					
254893人评价	你是我最好的朋友，你是我唯一的朋友 。	玛丽和马克思	82	8.9	2009/澳大利亚/剧情动画
					
317239人评价	童话世界的开端。	哈利·波特与魔法石	83	8.8	2001/美国英国/奇幻冒险
					
314861人评价	一场华丽的意淫。	阳光灿烂的日子	84	8.8	1994/中国大陆香港/剧情
					
378299人评价	小清新的故事里注入了大历史的情怀。	布达佩斯大饭店	85	8.8	2014/美国德国英国/剧情喜剧冒险
					
269343人评价	人与自然的战争史诗。	幽灵公主	86	8.8	1997/日本/动画奇幻冒险
					
418334人评价	昔日翩翩少年，今日大腹便便。	禁闭岛	87	8.7	2010/美国/剧情悬疑惊悚
					
268314人评价	深入内心的恐怖，出人意料的结局。	第六感	88	8.8	1999/美国/剧情悬疑惊悚
					
382682人评价	寂寞没有期限。	重庆森林	89	8.7	1994/香港/剧情爱情
					
277984人评价	骗子大师和执著警探的你追我跑故事。 	猫鼠游戏	90	8.8	2002/美国加拿大/传记犯罪剧情
					
155623人评价	人言可畏。	狩猎	91	9	2012/丹麦瑞典/剧情
					
368090人评价	最不可能的那个人永远是最可能的。	致命ID	92	8.7	2003/美国/剧情悬疑惊悚
					
366528人评价	每个人心中都有一座断背山。	断背山	93	8.7	2005/美国加拿大/剧情爱情同性家庭
					
287755人评价	抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。	大鱼	94	8.7	2003/美国/剧情家庭奇幻冒险
					
180024人评价	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。	穿条纹睡衣的男孩	95	8.9	2008/英国美国/剧情战争
					
401486人评价	约翰尼·德普的独角戏。	加勒比海盗	96	8.6	2003/美国/动作冒险奇幻
					
313649人评价	百看不厌。 	射雕英雄传之东成西就	97	8.7	1993/香港/喜剧古装
					
389214人评价	没有一人完全善，也没有一人完全恶。	告白	98	8.7	2010/日本/剧情惊悚
					
260109人评价	相逢只要一瞬间，等待却像是一辈子。	甜蜜蜜	99	8.8	1996/香港/剧情爱情
					
176026人评价	我们都曾经是一一。	一一	100	8.9	2000/台湾日本/剧情爱情家庭
					
307238人评价	再多各自牛逼的时光，也比不上一起傻逼的岁月。 	阳光姐妹淘	101	8.8	2011/韩国/剧情喜剧
					
106684人评价	大时代中的人生，小人物的悲喜。	摩登时代	102	9.2	1936/美国/喜剧剧情爱情
					
603987人评价	绝对意义上的美轮美奂。	阿凡达	103	8.6	2009/美国英国/动作战争科幻冒险
					
173826人评价	被上帝抛弃了的上帝之城。	上帝之城	104	8.9	2002/巴西法国/犯罪剧情
					
254419人评价	缘分是个连绵词，最美不过一瞬。	爱在黎明破晓前	105	8.7	1995/美国奥地利瑞士/剧情爱情
					
413167人评价	年度最佳date movie。	消失的爱人	106	8.7	2014/美国/剧情犯罪悬疑惊悚
					
200059人评价	动画片的圣经。	风之谷	107	8.8	1984/日本/动画奇幻冒险
					
197787人评价	少女情怀总是诗。	侧耳倾听	108	8.8	1995/日本/剧情爱情动画
					
225424人评价	九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。	爱在日落黄昏时	109	8.8	2004/美国/剧情爱情
					
201480人评价	穷尽一生，我们要学会的，不过是彼此拥抱。	超脱	110	8.8	2011/美国/剧情
					
299389人评价	两张绝世的脸。 	倩女幽魂	111	8.6	1987/香港/剧情爱情武侠古装
					
263530人评价	恐怖分子的“秋菊打官司”。	恐怖直播	112	8.7	2013/韩国/剧情犯罪悬疑
					
158144人评价	梦的勾结。	红辣椒	113	8.9	2006/日本/动画悬疑科幻惊悚
					
161777人评价	那些静得只能听见呼吸的日子里，你明白孤独即生活。	小森林 夏秋篇	114	8.9	2014/日本/剧情
					
370988人评价	我是一个演员。	喜剧之王	115	8.6	1999/香港/喜剧剧情爱情
					
214933人评价	从没见过那么流氓的温柔，从没见过那么温柔的流氓。	菊次郎的夏天	116	8.7	1999/日本/剧情喜剧
					
327895人评价	和谐的生活离不开摸头与被摸头。	驯龙高手	117	8.7	2010/美国/喜剧动画奇幻冒险
					
253292人评价	有时候幸福需要等一等。 	幸福终点站	118	8.7	2004/美国/喜剧剧情爱情
					
228523人评价	幸福是生生不息，却难以触及的远。 	萤火虫之墓	119	8.7	1988/日本/动画剧情战争
					
246427人评价	曾经的那段美好会沉淀为一辈子的记忆。	借东西的小人阿莉埃蒂	120	8.7	2010/日本/动画奇幻冒险
					
439348人评价	Mr. I Don't Care其实也有Care的时候。	神偷奶爸	121	8.5	2010/美国法国/喜剧动画冒险
					
337686人评价	岁月流逝，来日可追。	岁月神偷	122	8.6	2010/香港中国大陆/剧情家庭
					
87998人评价	时代悲歌。	七武士	123	9.2	1954/日本/动作冒险剧情
					
235451人评价	关于连环杀人悬案的集体回忆。	杀人回忆	124	8.7	2003/韩国/犯罪剧情悬疑惊悚
					
279269人评价	不要给它起名字，起了名字就有感情了。	怪兽电力公司	125	8.6	2001/美国/儿童喜剧动画奇幻冒险
					
222247人评价	真相就在眼前。	电锯惊魂	126	8.7	2004/美国/悬疑惊悚恐怖
					
431925人评价	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁	贫民窟的百万富翁	127	8.5	2008/英国美国/剧情爱情
					
202899人评价	像吃了苏打饼一样干脆的电影。	谍影重重3	128	8.7	2007/美国德国/动作悬疑惊悚
					
158587人评价	中国家庭的喜怒哀乐忍。	喜宴	129	8.8	1993/台湾美国/剧情喜剧爱情同性家庭
					
347993人评价	爱，是个动词。	真爱至上	130	8.5	2003/英国美国法国/喜剧剧情爱情
					
285548人评价	电影诗。	东邪西毒	131	8.6	1994/香港台湾/剧情动作爱情武侠古装
					
311956人评价	一个针管引发的血案。	记忆碎片	132	8.5	2000/美国/犯罪剧情悬疑惊悚
					
463505人评价	黑暗之美。	黑天鹅	133	8.5	2010/美国/剧情惊悚
					
415307人评价	老少皆宜，这就是好莱坞动画的魅力。	疯狂原始人	134	8.7	2013/美国/喜剧动画冒险
					
105516人评价	大海啊，不全是水。	海洋	135	9	2009/法国瑞士西班牙美国阿联酋/纪录片
					
228999人评价	生活在自己的世界里，也可以让周围的人显得可笑和渺小。	雨人	136	8.6	1988/美国/剧情
					
139914人评价	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。	小森林 冬春篇	137	8.9	2015/日本/剧情
					
135949人评价	当这个世界闭上双眼，他却敞开了怀抱。	卢旺达饭店	138	8.9	2004/英国南非意大利美国/剧情历史战争
					
311498人评价	10年的完美句点。	哈利·波特与死亡圣器(下)	139	8.7	2011/美国英国/剧情悬疑奇幻冒险
					
204656人评价	《我是山姆》的《美丽人生》。	7号房的礼物	140	8.7	2013/韩国/剧情喜剧家庭
					
197180人评价	英雄泪短，兄弟情长。 	英雄本色	141	8.6	1986/香港/动作犯罪
					
187179人评价	触不到的恋人。	萤火之森	142	8.8	2011/日本/剧情爱情动画奇幻
					
212537人评价	沉醉在电影的情感和视听氛围中无法自拔。	请以你的名字呼唤我	143	8.8	2017/意大利法国巴西美国/剧情爱情同性
					
209188人评价	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。	心迷宫	144	8.6	2014/中国大陆/剧情犯罪悬疑
					
117729人评价	永远看不腻的喜剧。	虎口脱险	145	8.9	1966/法国英国/喜剧战争
					
160694人评价	传奇，不是每个人都可以拥有。	燃情岁月	146	8.7	1994/美国/剧情爱情西部家庭
					
342284人评价	爱是摈弃傲慢与偏见之后的曙光。	傲慢与偏见	147	8.5	2005/法国英国美国/剧情爱情
					
167159人评价	始于荒诞，止于更荒诞。	荒蛮故事	148	8.8	2014/阿根廷西班牙/剧情喜剧犯罪
					
426205人评价	Balalala~~~	超能陆战队	149	8.6	2014/美国/喜剧动作科幻动画冒险
					
230142人评价	我们都有权利不与自己的过去和解。	海边的曼彻斯特	150	8.6	2016/美国/剧情家庭
					
149309人评价	任何信念的力量，都无法改变命运。	教父3	151	8.8	1990/美国/剧情犯罪
					
388361人评价	华太师是黄霑，吴镇宇四大才子之一。	唐伯虎点秋香	152	8.4	1993/香港/喜剧爱情古装
					
330403人评价	诺兰就是保证。	蝙蝠侠：黑暗骑士崛起	153	8.6	2012/美国英国/剧情动作科幻犯罪惊悚
					
319004人评价	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 	恋恋笔记本	154	8.5	2004/美国/剧情爱情
					
169511人评价	香港浪漫主义警匪动作片的巅峰之作。	纵横四海	155	8.7	1991/香港/剧情喜剧动作犯罪
					
92872人评价	坏人的好总是比好人的好来得更感人。	完美的世界	156	9	1993/美国/剧情犯罪
					
276030人评价	偷情本没有这样美。	花样年华	157	8.5	2000/香港/剧情爱情
					
233348人评价	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。	时空恋旅人	158	8.6	2013/英国/剧情爱情奇幻
					
214335人评价	跨度十五年的欢乐与泪水。	玩具总动员3	159	8.8	2010/美国/喜剧动画奇幻冒险
					
141767人评价	中国式内在的美国电影。	魂断蓝桥	160	8.8	1940/美国/剧情战争爱情
					
269983人评价	不可猜的青春迷笛。 	猜火车	161	8.5	1996/英国/犯罪剧情
					
204574人评价	爱上未来的你。 	穿越时空的少女	162	8.6	2006/日本/剧情爱情科幻动画
					
208821人评价	Jared Leto的腿比女人还美！	达拉斯买家俱乐部	163	8.7	2013/美国/剧情传记同性
					
102375人评价	骨灰级歌舞片。	雨中曲	164	9	1952/美国/喜剧歌舞爱情
					
121750人评价	有一些东西不应该被遗忘。	二十二	165	8.7	2015/中国大陆/纪录片
					
118228人评价	爱并不需要智商 。	我是山姆	166	8.8	2001/美国/剧情家庭
					
82280人评价	我的平常生活就是他人的幸福。	无人知晓	167	9.1	2004/日本/剧情
					
211697人评价	对爱的执着，可以超越一切。	人工智能	168	8.6	2001/美国/冒险剧情科幻
					
305145人评价	松鼠才是角儿。	冰川时代	169	8.5	2002/美国/喜剧动画冒险
					
365468人评价	优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。	血战钢锯岭	170	8.7	2016/美国澳大利亚/剧情传记历史战争
					
146892人评价	世界离独裁只有五天。	浪潮	171	8.7	2008/德国/剧情惊悚
					
266403人评价	这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。	爆裂鼓手	172	8.6	2014/美国/剧情音乐
					
