影评	电影简介	电影名称	序号	星级	电影类型
64616人评价	你要相信，这世上真的有爱存在，不管在什么年纪 	我爱你	243	9	2011/韩国/剧情爱情
					
109125人评价	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。	枪火	244	8.6	1999/香港/剧情动作犯罪
					
148823人评价	一个人的独角戏。	荒岛余生	245	8.5	2000/美国/冒险剧情
					
103320人评价	纯净原始的笑与感动。	上帝也疯狂	246	8.6	1980/博茨瓦纳南非/喜剧
					
104749人评价	捍卫人权只是信仰，一点不妨碍其行为的残忍。	大卫·戈尔的一生	247	8.6	2003/美国德国英国/剧情犯罪悬疑
					
95903人评价	一部能引人思考的科幻励志片。	千钧一发	248	8.7	1997/美国/剧情科幻惊悚
					
105013人评价	现代科幻电影的开山之作，最伟大导演的最伟大影片。	2001太空漫游	249	8.7	1968/英国美国/科幻惊悚冒险
					
288329人评价	青春的窃窃私语。 	蓝色大门	250	8.3	2002/台湾法国/剧情爱情同性
